index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold,labelOffset
,,4,*,RFO,s,ee,,,,
,,4,*,LFO,s,ee,,,,
,,4,*,RFO,s,ee,,,,
,,4,*,LFO,s,ee,,,,
,,4,*,RFO,s,ee,,,,
,,4,*,LFO,s,ee,,,,
,,4,*,RFI,s,ee,,,,
,,4,*,LFI,s,ee,,,,
,,4,*,RFI,s,ee,,,,
,,4,*,LFI,s,ee,,,,
,,4,*,RFI,s,ee,,,,
,,4,*,LFI,s,ee,,,,
,2,4,*,RBO,s,ee,,,,
,2,4,*,LBO,s,ee,,,,
,2,4,*,RBO,s,ee,,,,
,2,4,*,LBO,s,ee,,,,
,2,4,*,RBO,s,ee,,,,
,2,4,*,LBO,s,ee,,,,
,2,4,*,RBI,s,ee,,,,
,2,4,*,LBI,s,ee,,,,
,2,4,*,RBI,s,ee,,,,
,2,4,*,LBI,s,ee,,,,
,2,4,*,RBI,s,ee,,,,
,2,4,*,LBI,s,ee,,,,
